iter	Passed	Remaining
0	0	732
1	1	690
2	2	744
3	2	722
4	3	703
5	4	688
6	4	663
7	5	642
8	5	628
9	6	620
10	6	611
11	7	607
12	8	622
13	9	651
14	9	645
15	10	637
16	10	628
17	11	623
18	11	613
19	12	613
20	13	609
21	13	611
22	14	618
23	15	619
24	15	619
25	16	616
26	17	627
27	18	639
28	19	640
29	19	637
30	20	640
31	21	648
32	22	649
33	22	644
34	23	639
35	23	635
36	24	630
37	24	626
38	25	621
39	25	616
40	26	615
41	27	618
42	27	617
43	28	614
44	28	610
45	29	606
46	29	602
47	30	599
48	30	595
49	31	592
50	31	594
51	32	599
52	33	606
53	34	608
54	35	608
55	36	608
56	36	607
57	37	606
58	38	606
59	38	608
60	39	612
61	40	619
62	42	627
63	42	626
64	43	624
65	44	623
66	44	625
67	45	628
68	46	630
69	47	629
70	47	627
71	48	625
72	49	624
73	49	621
74	50	619
75	50	619
76	51	622
77	52	621
78	53	620
79	53	619
80	54	618
81	55	616
82	55	611
83	55	610
84	56	609
85	57	611
86	58	611
87	58	610
88	59	610
89	60	609
90	60	607
91	61	606
92	61	604
93	62	603
94	63	604
95	64	604
96	64	603
97	65	601
98	65	600
99	66	598
100	67	596
101	67	595
102	68	594
103	68	594
104	70	597
105	70	597
106	71	596
107	71	594
108	72	592
109	73	591
110	73	590
111	74	588
112	74	588
113	75	588
114	76	588
115	77	587
116	77	584
117	78	583
118	78	583
119	79	582
120	79	581
121	80	579
122	81	578
123	82	580
124	82	580
125	83	579
126	83	577
127	84	575
128	85	574
129	85	573
130	86	571
131	86	572
132	87	573
133	89	576
134	89	576
135	90	575
136	91	574
137	91	573
138	92	572
139	92	570
140	93	570
141	94	569
142	94	568
143	95	566
144	96	566
145	96	565
146	97	563
147	97	562
148	98	561
149	99	561
150	99	560
151	100	561
152	101	560
153	101	559
154	102	559
155	103	558
156	103	557
157	104	556
158	105	555
159	105	554
160	106	553
161	106	552
162	107	551
163	107	550
164	108	549
165	109	548
166	109	547
167	110	545
168	110	544
169	111	543
170	112	543
171	112	543
172	113	542
173	113	541
174	114	539
175	114	538
176	115	536
177	115	535
178	116	534
179	117	533
180	117	533
181	118	533
182	119	532
183	119	531
184	120	530
185	120	528
186	121	527
187	121	526
188	122	525
189	123	524
190	123	524
191	124	524
192	125	523
193	125	522
194	126	521
195	126	520
196	127	519
197	127	517
198	128	516
199	128	515
200	129	514
201	129	513
202	130	513
203	131	512
204	131	511
205	132	509
206	132	509
207	133	508
208	134	507
209	134	506
210	135	505
211	135	503
212	136	503
213	136	503
214	137	502
215	138	500
216	138	499
217	138	498
218	139	497
219	139	495
220	140	495
221	141	494
222	141	492
223	142	492
224	142	492
225	143	491
226	144	490
227	144	489
228	145	488
229	145	487
230	146	486
231	146	485
232	147	484
233	147	482
234	148	481
235	148	481
236	149	481
237	150	480
238	150	479
239	151	478
240	151	477
241	152	476
242	152	475
243	153	474
244	153	473
245	154	472
246	154	471
247	155	470
248	156	470
249	156	469
250	157	468
251	157	467
252	157	466
253	158	465
254	158	464
255	159	463
256	159	462
257	160	461
258	161	462
259	162	461
260	162	461
261	163	460
262	163	459
